"rate"|"cv_text"|"country"|"user_skills"
"55"|"Real Estate financial analyst with over ten years experience and a graduate of a top5 ranked US MBA program. Analyzed billions of dollars worth of real estate properties and projects including all major property types. Produced dynamic CRE Analytics on both Acquisition and Development transactions, for lenders and private equity firms. Currently only available for fixed price jobs. Finance, real estate, underwriting, development ,acquisition, debt, equity, excel, vba, construction, hotel, multifamily, office, retail, industrial, commercial ,mortgage  , credit, loan, model ,modelling, argus, cmbs, cre, large loan, transaction, cash flow, developer, modeler, analytical, remote, portfolio ,warehouse, vlookup, boolean ,visual basic, distressed, reo, dpo, subdivision, hospitality, loan, lender, irr, dscr, multiple, profit, projections, proforma, pro forma, noi, sensitivity, analysis, property, business plan, proposal, pitch book, presentation, template, marketing, sales, memo, memorandum, powerpoint, apartment, building, analysis, financial, affordable, housing, modeling, mall, shopping, property, valuation, limited partnership agreement, partner, distribution, lpa, gp, waterfall, lp, promote structure, project finance, phasing, roe, cash on cash, npv, cap rate, condominium, condoRead More »"|"Jamaica"|"Financial Analysis;Real Estate Modelling;Argus;Real Estate Underwriting;VBA;Microsoft Excel"
"50"|"I have over 15 years of development and implementation experience on projects ranging from small departmental applications through complex enterprise solutions in multinational corporate environments.My software and application expertise is very diverse and includes Java, Java EE, JSF, JSP/Servlets, and related frameworks and APIs including Spring, Hibernate, EclipseLink, JBoss Seam, RESTful Web Services, PrimeFaces, Lotus Notes & Domino, XPages, Visual Basic, and Crystal Reports.Beyond application development, I am skilled in... As a software engineer with over 15 years of full life cycle development experience I offer the following skills and services:Over a decade implementing complex enterprise solutions in a multinational corporate environmentsProven track record of bringing customer requirements from concept and design through the completion of the software development life cycle and longterm supportSkilled in highlevel requirements gathering, risk analysis, design documentation, application modeling, test plans, and user documentationExtensive project work creating user interfaces, designing application architecture, and performing data modelingDiverse experience with Java and related frameworks as well as various proprietary application languages and thirdparty tools and solutionsSubstantial experience working on fast paced, high stress, deadline oriented projects I have extensive knowledge of the following business processes:Customer Relationship ManagementSales Force AutomationChange ManagementProblem ManagementIncident ManagementHelp DeskHealthCare Automation SystemsMarketing SolutionsEducationAccountingEmployee ManagementHuman ResourcesITILRead More »"|"United States"|"Java;Java EE;JSF;XPages;Lotus Notes & Domino;HTML5;Javascript;SAP Crystal Reports;Microsoft SQL Server Programming;MySQL Administration"
"55"|"Real Estate financial analyst with over ten years experience and a graduate of a top5 ranked US MBA program. Analyzed billions of dollars worth of real estate properties and projects including all major property types. Produced dynamic CRE Analytics on both Acquisition and Development transactions, for lenders and private equity firms. Currently only available for fixed price jobs. Finance, real estate, underwriting, development ,acquisition, debt, equity, excel, vba, construction, hotel, multifamily, office, retail, industrial, commercial ,mortgage  , credit, loan, model ,modelling, argus, cmbs, cre, large loan, transaction, cash flow, developer, modeler, analytical, remote, portfolio ,warehouse, vlookup, boolean ,visual basic, distressed, reo, dpo, subdivision, hospitality, loan, lender, irr, dscr, multiple, profit, projections, proforma, pro forma, noi, sensitivity, analysis, property, business plan, proposal, pitch book, presentation, template, marketing, sales, memo, memorandum, powerpoint, apartment, building, analysis, financial, affordable, housing, modeling, mall, shopping, property, valuation, limited partnership agreement, partner, distribution, lpa, gp, waterfall, lp, promote structure, project finance, phasing, roe, cash on cash, npv, cap rate, condominium, condoRead More »"|"Jamaica"|"Financial Analysis;Real Estate Modelling;Argus;Real Estate Underwriting;VBA;Microsoft Excel"
"93"|"From gender, race & LGBTQIA advocacy to medical writing and much more, I create bold, authoritative content that fits your industry and your audience.These are a few of the niches where I stand above the competition. •Race, Gender & LGBTQIA Advocacy•Health & Wellness•Medical writing•Behavioral health•Addiction & Rehab Content Marketing•Personality & Social Psychology•Women & Minorityowned businesses Since March 2010 I have completed over 500 jobs. In that time, I have racked up some impressive stats: 100% of my clients recommend me My feedback is stellar I boast a solid 5star ratingThese are some of the services I provide:  Articles Web copy Social media management And moreTo start the conversation, please use the green hire me button up top.   Read More »"|"Puerto Rico"|"English;Content Marketing;Creative Writing;Elance;English Spelling;Email;English Punctuation;Translation English Spanish;English Grammar;English Proofreading;Article Writing;Addiction;Rehab Content Marketing;Advocacy Writing;Women's Rights"
"25"|"Certified Liferay Professional with a solid practical background in Liferay development and customization. More than 50 liferay projects successfully completed. Motivated, responsible and fully dedicated. Fluent english and flexible work schedule. * Liferay Portal (Tomcat/JBoss), CE/EE* Java, J2EE (EJB, JSP, Servlets, JavaBeans, JMS, JDBC), JSTL, Struts, Hibernate, JUnit, MyFaces/JSF, Tomahawk, Portlets, AJAX* Portlets (JSR 286)* Javascript, JQuery* HTML, DHTML, CSS* MySQL, Postgre, OracleRead More »"|"Ukraine"|"Liferay;Portlets;Java;J2EE;JSP;Javascript;HTML;CSS;jQuery"
"50"|"I have over 15 years of development and implementation experience on projects ranging from small departmental applications through complex enterprise solutions in multinational corporate environments.My software and application expertise is very diverse and includes Java, Java EE, JSF, JSP/Servlets, and related frameworks and APIs including Spring, Hibernate, EclipseLink, JBoss Seam, RESTful Web Services, PrimeFaces, Lotus Notes & Domino, XPages, Visual Basic, and Crystal Reports.Beyond application development, I am skilled in... As a software engineer with over 15 years of full life cycle development experience I offer the following skills and services:Over a decade implementing complex enterprise solutions in a multinational corporate environmentsProven track record of bringing customer requirements from concept and design through the completion of the software development life cycle and longterm supportSkilled in highlevel requirements gathering, risk analysis, design documentation, application modeling, test plans, and user documentationExtensive project work creating user interfaces, designing application architecture, and performing data modelingDiverse experience with Java and related frameworks as well as various proprietary application languages and thirdparty tools and solutionsSubstantial experience working on fast paced, high stress, deadline oriented projects I have extensive knowledge of the following business processes:Customer Relationship ManagementSales Force AutomationChange ManagementProblem ManagementIncident ManagementHelp DeskHealthCare Automation SystemsMarketing SolutionsEducationAccountingEmployee ManagementHuman ResourcesITILRead More »"|"United States"|"Java;Java EE;JSF;XPages;Lotus Notes & Domino;HTML5;Javascript;SAP Crystal Reports;Microsoft SQL Server Programming;MySQL Administration"
"55"|"Real Estate financial analyst with over ten years experience and a graduate of a top5 ranked US MBA program. Analyzed billions of dollars worth of real estate properties and projects including all major property types. Produced dynamic CRE Analytics on both Acquisition and Development transactions, for lenders and private equity firms. Currently only available for fixed price jobs. Finance, real estate, underwriting, development ,acquisition, debt, equity, excel, vba, construction, hotel, multifamily, office, retail, industrial, commercial ,mortgage  , credit, loan, model ,modelling, argus, cmbs, cre, large loan, transaction, cash flow, developer, modeler, analytical, remote, portfolio ,warehouse, vlookup, boolean ,visual basic, distressed, reo, dpo, subdivision, hospitality, loan, lender, irr, dscr, multiple, profit, projections, proforma, pro forma, noi, sensitivity, analysis, property, business plan, proposal, pitch book, presentation, template, marketing, sales, memo, memorandum, powerpoint, apartment, building, analysis, financial, affordable, housing, modeling, mall, shopping, property, valuation, limited partnership agreement, partner, distribution, lpa, gp, waterfall, lp, promote structure, project finance, phasing, roe, cash on cash, npv, cap rate, condominium, condoRead More »"|"Jamaica"|"Financial Analysis;Real Estate Modelling;Argus;Real Estate Underwriting;VBA;Microsoft Excel"
"93"|"From gender, race & LGBTQIA advocacy to medical writing and much more, I create bold, authoritative content that fits your industry and your audience.These are a few of the niches where I stand above the competition. •Race, Gender & LGBTQIA Advocacy•Health & Wellness•Medical writing•Behavioral health•Addiction & Rehab Content Marketing•Personality & Social Psychology•Women & Minorityowned businesses Since March 2010 I have completed over 500 jobs. In that time, I have racked up some impressive stats: 100% of my clients recommend me My feedback is stellar I boast a solid 5star ratingThese are some of the services I provide:  Articles Web copy Social media management And moreTo start the conversation, please use the green hire me button up top.   Read More »"|"Puerto Rico"|"English;Content Marketing;Creative Writing;Elance;English Spelling;Email;English Punctuation;Translation English Spanish;English Grammar;English Proofreading;Article Writing;Addiction;Rehab Content Marketing;Advocacy Writing;Women's Rights"
"25"|"Certified Liferay Professional with a solid practical background in Liferay development and customization. More than 50 liferay projects successfully completed. Motivated, responsible and fully dedicated. Fluent english and flexible work schedule. * Liferay Portal (Tomcat/JBoss), CE/EE* Java, J2EE (EJB, JSP, Servlets, JavaBeans, JMS, JDBC), JSTL, Struts, Hibernate, JUnit, MyFaces/JSF, Tomahawk, Portlets, AJAX* Portlets (JSR 286)* Javascript, JQuery* HTML, DHTML, CSS* MySQL, Postgre, OracleRead More »"|"Ukraine"|"Liferay;Portlets;Java;J2EE;JSP;Javascript;HTML;CSS;jQuery"
"39"|"I'm a specialist in: Qlikview (Business Intelligence) development and deployment. Front end & Server set up. Visual studio. VB.NET for desktop application development.. Devexpress visual components for .NET (user inferface) Development and implementation of statistical models, and processes optimization in the area of Oil, Gas and Energy.  Experience resume: Qlikview deployment carried out under team work for complex analysis in the Sweden pharmaceutical area. Qlikview development to show information about Energy simulations and optimizations. Reservoir and generators dispatch, fuel consumption, comparison with reality, statistical analysis of different scenarios, stock evolutions, etc. Development of energy models for long and short term dispatch optimization of power in the Argentinian Electricity Market (Unit commitment). Implementation made with FICO XPRESS as optimization tool, and VB.net and DevExpress for user interface. More than 100.000 equations and variables are used in each model. Modeling of chemical processes in order to optimize the production, handling and dispensing tanks products. Statistical modeling of continuous processes for anomaly detection and diagnosis of these. Modeling using Principal Component analysis (PCA), Partial least Square (PLS) and Hotelling.Specialties:  Expert programming with Qlikview,  VB.NET, DevExpress (desktop) and Matlab. Advance programming with Excel (VBA) and Fortran. Oil, Gas, Energy, Logistics. Linear Optimization, GLPK, XPRESS, quadratic. Multivariate statistical tools, primarily PCA, PLS and Hotteling. Interpretation of P&I, electrical drawings and SCADA.Read More »"|"Argentina"|"QlikTech QlikView;Qlikview;DevExpress;Operations Research;Microsoft Visual Studio;Statistics;.NET Framework;Application Programming;MATLAB;Visual Basic for Applications (VBA)"
